site,problem_id,contestId,index,title,url,tags,rating,statement_text,slug,difficulty,paid_only
codeforces,cf-2048-I2,2048,I2,Kevin and Puzzle (Hard Version),https://codeforces.com/problemset/problem/2048/I2,"['bitmasks', 'fft', 'math']",3500,"This is the hard version of the problem. The difference between the versions is that in this version, you need to count the number of good arrays. You can hack only if you solved all versions of this problem.

Kevin is visiting the Red Church, and he found a puzzle on the wall.

For an array $$$ a $$$, let $$$ c(l,r) $$$ indicate how many distinct numbers are among $$$ a_l, a_{l+1}, \ldots, a_r $$$. In particular, if $$$ l > r $$$, define $$$ c(l,r) = 0 $$$.

You are given a string $$$ s $$$ of length $$$ n $$$ consisting of letters $$$ \texttt{L} $$$ and $$$ \texttt{R} $$$ only. Let a non-negative array $$$ a $$$ be called good, if the following conditions hold for $$$ 1 \leq i \leq n $$$:

- if $$$s_i=\verb!L!$$$, then $$$c(1,i-1)=a_i$$$;
- if $$$s_i=\verb!R!$$$, then $$$c(i+1,n)=a_i$$$.

You need to count the number of good arrays $$$a$$$. Since the answer may be large, you only need to output the answer modulo $$$998\,244\,353$$$.

Input:
Each test contains multiple test cases. The first line contains a single integer $$$t$$$ ($$$1\le t \le 10^4$$$) — the number of test cases. The description of the test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$2\leq n\leq 2\cdot 10^5$$$) — the length of string $$$s$$$.

The second line of each test case contains a string $$$s$$$ with a length $$$n$$$, containing only English uppercase letters $$$\verb!L!$$$ and $$$\verb!R!$$$.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2\cdot 10^5$$$.

Output:
For each test case, output the number of good arrays modulo $$$998\,244\,353$$$.

Note:
All arrays satisfying the conditions can be found in the easy version of this problem.",,,
codeforces,cf-1704-H2,1704,H2,Game of AI (hard version),https://codeforces.com/problemset/problem/1704/H2,"['combinatorics', 'fft', 'math']",3500,"This is the hard version of this problem. The difference between easy and hard versions is the constraint on $$$k$$$ and the time limit. Notice that you need to calculate the answer for all positive integers $$$n \in [1,k]$$$ in this version. You can make hacks only if both versions of the problem are solved.

Cirno is playing a war simulator game with $$$n$$$ towers (numbered from $$$1$$$ to $$$n$$$) and $$$n$$$ bots (numbered from $$$1$$$ to $$$n$$$). The $$$i$$$-th tower is initially occupied by the $$$i$$$-th bot for $$$1 \le i \le n$$$.

Before the game, Cirno first chooses a permutation $$$p = [p_1, p_2, \ldots, p_n]$$$ of length $$$n$$$ (A permutation of length $$$n$$$ is an array of length $$$n$$$ where each integer between $$$1$$$ and $$$n$$$ appears exactly once). After that, she can choose a sequence $$$a = [a_1, a_2, \ldots, a_n]$$$ ($$$1 \le a_i \le n$$$ and $$$a_i \ne i$$$ for all $$$1 \le i \le n$$$).

The game has $$$n$$$ rounds of attacks. In the $$$i$$$-th round, if the $$$p_i$$$-th bot is still in the game, it will begin its attack, and as the result the $$$a_{p_i}$$$-th tower becomes occupied by the $$$p_i$$$-th bot; the bot that previously occupied the $$$a_{p_i}$$$-th tower will no longer occupy it. If the $$$p_i$$$-th bot is not in the game, nothing will happen in this round.

After each round, if a bot doesn't occupy any towers, it will be eliminated and leave the game. Please note that no tower can be occupied by more than one bot, but one bot can occupy more than one tower during the game.

At the end of the game, Cirno will record the result as a sequence $$$b = [b_1, b_2, \ldots, b_n]$$$, where $$$b_i$$$ is the number of the bot that occupies the $$$i$$$-th tower at the end of the game.

However, as a mathematics master, she wants you to solve the following counting problem instead of playing games:

Count the number of different pairs of sequences $$$a$$$, $$$b$$$ from all possible choices of sequence $$$a$$$ and permutation $$$p$$$.

Calculate the answers for all $$$n$$$ such that $$$1 \le n \le k$$$. Since these numbers may be large, output them modulo $$$M$$$.

Input:
The only line contains two positive integers $$$k$$$ and $$$M$$$ ($$$1\le k\le 10^5$$$, $$$2\le M\le 10^9$$$ ). It is guaranteed that $$$2^{18}$$$ is a divisor of $$$M-1$$$ and $$$M$$$ is a prime number.

Output:
Output $$$k$$$ lines, where the $$$i$$$-th line contains a non-negative integer, which is the answer for $$$n=i$$$ modulo $$$M$$$.

Note:
For $$$n=1$$$, no valid sequence $$$a$$$ exists. We regard the answer as $$$0$$$.

For $$$n=2$$$, there is only one possible array $$$a$$$: $$$[2, 1]$$$.

- For array $$$a$$$ is $$$[2, 1]$$$ and permutation $$$p$$$ is $$$[1, 2]$$$, the sequence $$$b$$$ will be $$$[1, 1]$$$ after all rounds have finished. The details for each rounds:   In the first round, the first bot will begin its attack and successfully capture the tower $$$2$$$. After this round, the second bot will be eliminated and leave the game as all of its towers are occupied by other bots.  In the second round, the second bot is not in the game.
- For array $$$a$$$ is $$$[2, 1]$$$ and permutation $$$p$$$ is $$$[2, 1]$$$, the sequence $$$b$$$ will be $$$[2, 2]$$$ after all rounds have finished. The details for each rounds:   In the first round, the second bot will begin its attack and successfully capture the tower $$$1$$$. After this round, the first bot will be eliminated and leave the game as all of its towers are occupied by other bots.  In the second round, the first bot is not in the game.

So the number of different pairs of sequences $$$(a,b)$$$ is $$$2$$$ ($$$[2, 1]$$$, $$$[1, 1]$$$ and $$$[2, 1]$$$, $$$[2, 2]$$$) for $$$n=2$$$.",,,
codeforces,cf-2061-H2,2061,H2,Kevin and Stones (Hard Version),https://codeforces.com/problemset/problem/2061/H2,"['flows', 'graphs']",3500,"This is the hard version of the problem. The difference between the versions is that in this version, you need to output a valid sequence of operations if one exists. You can hack only if you solved all versions of this problem.

Kevin has an undirected graph with $$$n$$$ vertices and $$$m$$$ edges. Initially, some vertices contain stones, which Kevin wants to move to new positions.

Kevin can perform the following operation:

- For each stone at $$$u_i$$$, select a neighboring vertex $$$v_i$$$. Simultaneously move each stone from $$$u_i$$$ to its corresponding $$$v_i$$$.

At any time, each vertex can contain at most one stone.

Determine whether a valid sequence of operations exists that moves the stones from the initial state to the target state. Output a valid sequence of operations with no more than $$$2n$$$ moves if one exists. It can be proven that if a valid sequence exists, a valid sequence with no more than $$$2n$$$ moves exists.

Input:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 1000$$$). The description of the test cases follows.

The first line of each test case contains two integers $$$n$$$ and $$$m$$$ ($$$1\leq n \leq 2000$$$, $$$0\leq m \leq \min(\frac{n(n-1)}{2}, 10^4)$$$) — the number of vertices and edges in the graph.

The second line contains a binary string $$$s$$$ consisting of '0' and '1'. The $$$i$$$-th bit of $$$s$$$ indicates the number of stones on the $$$i$$$-th vertex in the initial state.

The third line contains a binary string $$$t$$$ consisting of '0' and '1'. The $$$i$$$-th bit of $$$t$$$ indicates the number of stones on the $$$i$$$-th vertex in the target state.

Each of the next $$$m$$$ lines contains two integers $$$u$$$ and $$$v$$$ ($$$1\leq u, v \leq n$$$) — an undirected edge between the $$$u$$$-th vertex and the $$$v$$$-th vertex.

It is guaranteed that the graph is simple. There are no self-loops and parallel edges in the graph.

It is guaranteed that the numbers of '1' in $$$s$$$ and $$$t$$$ are the same.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2000$$$.

It is guaranteed that the sum of $$$m$$$ over all test cases does not exceed $$$10^4$$$.

Output:
For each test case, on the first line, output ""Yes"" or ""No"" to indicate whether a valid sequence of operations exists.

You can output the answer in any case (upper or lower). For example, the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive responses.

If a valid sequence of operations exists, output a single integer $$$k$$$ ($$$0 \leq k \leq 2n$$$) on the second line, representing the number of operations. Suppose there are $$$c$$$ stones in the initial state. The next $$$k + 1$$$ lines should each contain distinct $$$c$$$ integers, representing the positions of the stones before the operations and after each operation. These positions should satisfy the following:

- The positions of the stones in the first line match the initial state from the input, in any order.
- The positions of the stones in the last line match the target state from the input, in any order.
- For all $$$i$$$ ($$$1\leq i\leq k$$$) and $$$j$$$ ($$$1\leq j\leq c$$$), ensure that the $$$j$$$-th integer in the $$$i$$$-th line and the $$$j$$$-th integer in the $$$(i+1)$$$-th line correspond to adjacent vertices in the graph. In other words, the stone is moved from its previous position to the next.

If there are multiple solutions, print any of them.",,,
codeforces,cf-2061-F2,2061,F2,Kevin and Binary String (Hard Version),https://codeforces.com/problemset/problem/2061/F2,"['data structures', 'dp']",3500,"This is the hard version of the problem. The difference between the versions is that in this version, string $$$t$$$ consists of '0', '1' and '?'. You can hack only if you solved all versions of this problem.

Kevin has a binary string $$$s$$$ of length $$$n$$$. Kevin can perform the following operation:

- Choose two adjacent blocks of $$$s$$$ and swap them.

A block is a maximal substring$$$^{\text{∗}}$$$ of identical characters. Formally, denote $$$s[l,r]$$$ as the substring $$$s_l s_{l+1} \ldots s_r$$$. A block is $$$s[l,r]$$$ satisfying:

- $$$l=1$$$ or $$$s_l\not=s_{l-1}$$$.
- $$$s_l=s_{l+1} = \ldots = s_{r}$$$.
- $$$r=n$$$ or $$$s_r\not=s_{r+1}$$$.

Adjacent blocks are two blocks $$$s[l_1,r_1]$$$ and $$$s[l_2,r_2]$$$ satisfying $$$r_1+1=l_2$$$.

For example, if $$$s=\mathtt{000}\,\mathbf{11}\,\mathbf{00}\,\mathtt{111}$$$, Kevin can choose the two blocks $$$s[4,5]$$$ and $$$s[6,7]$$$ and swap them, transforming $$$s$$$ into $$$\mathtt{000}\,\mathbf{00}\,\mathbf{11}\,\mathtt{111}$$$.

Given a string $$$t$$$ of length $$$n$$$ consisting of '0', '1' and '?', Kevin wants to determine the minimum number of operations required to perform such that for any index $$$i$$$ ($$$1\le i\le n$$$), if $$$t_i\not=$$$ '?' then $$$s_i=t_i$$$. If it is impossible, output $$$-1$$$.

Input:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains a string $$$s$$$ consisting of '0' and '1'.

The second line of each test case contains a string $$$t$$$ consisting of '0', '1' and '?'.

It is guaranteed that the lengths of $$$s$$$ and $$$t$$$ are the same.

It is guaranteed that the sum of the length of $$$s$$$ over all test cases will not exceed $$$4\cdot 10^5$$$.

Output:
For each test case, output one integer — the minimum number of operations required. If it is impossible, output $$$-1$$$.

Note:
In the first test case of the first example, the possible way is shown in the statement.

In the second test case of the first example, one possible way could be:

- Swap blocks $$$[2, 2], [3, 3]$$$, $$$s$$$ will become $$$\mathtt{001101}$$$.
- Swap blocks $$$[3, 4], [5, 5]$$$, $$$s$$$ will become $$$\mathtt{000111}$$$.
- Swap blocks $$$[1, 3], [4, 6]$$$, $$$s$$$ will become $$$\mathtt{111000}$$$.

In the first test case of the second example, one possible way could be:

- Swap blocks $$$[1, 1], [2, 2]$$$, $$$s$$$ will become $$$\mathtt{100101}$$$.
- Swap blocks $$$[4, 4], [5, 5]$$$, $$$s$$$ will become $$$\mathtt{100011}$$$.",,,
codeforces,cf-1654-H,1654,H,Three Minimums,https://codeforces.com/problemset/problem/1654/H,"['combinatorics', 'constructive algorithms', 'divide and conquer', 'dp', 'fft', 'math']",3500,"Given a list of distinct values, we denote with first minimum, second minimum, and third minimum the three smallest values (in increasing order).

A permutation $$$p_1, p_2, \dots, p_n$$$ is good if the following statement holds for all pairs $$$(l,r)$$$ with $$$1\le l < l+2 \le r\le n$$$.

- If $$$\{p_l, p_r\}$$$ are (not necessarily in this order) the first and second minimum of $$$p_l, p_{l+1}, \dots, p_r$$$ then the third minimum of $$$p_l, p_{l+1},\dots, p_r$$$ is either $$$p_{l+1}$$$ or $$$p_{r-1}$$$.

You are given an integer $$$n$$$ and a string $$$s$$$ of length $$$m$$$ consisting of characters ""<"" and "">"".

Count the number of good permutations $$$p_1, p_2,\dots, p_n$$$ such that, for all $$$1\le i\le m$$$,

- $$$p_i < p_{i+1}$$$ if $$$s_i =$$$ ""<"";
- $$$p_i > p_{i+1}$$$ if $$$s_i =$$$ "">"".

Input:
The first line contains two integers $$$n$$$ and $$$m$$$ ($$$2 \le n \le 2 \cdot 10^5$$$, $$$1 \leq m \leq \min(100, n-1)$$$).

The second line contains a string $$$s$$$ of length $$$m$$$, consisting of characters ""<"" and "">"".

Output:
Print a single integer: the number of good permutations satisfying the constraints described in the statement, modulo $$$998\,244\,353$$$.

Note:
In the first test, there are $$$5$$$ good permutations satisfying the constraints given by the string $$$s$$$: $$$[4, 3, 2, 1, 5]$$$, $$$[5, 3, 2, 1, 4]$$$, $$$[5, 4, 2, 1, 3]$$$, $$$[5, 4, 3, 1, 2]$$$, $$$[5, 4, 3, 2, 1]$$$. Each of them

- is good;
- satisfies $$$p_1 > p_2$$$;
- satisfies $$$p_2 > p_3$$$;
- satisfies $$$p_3 > p_4$$$.

In the second test, there are $$$60$$$ permutations such that $$$p_1 < p_2$$$. Only $$$56$$$ of them are good: the permutations $$$[1, 4, 3, 5, 2]$$$, $$$[1, 5, 3, 4, 2]$$$, $$$[2, 4, 3, 5, 1]$$$, $$$[2, 5, 3, 4, 1]$$$ are not good because the required condition doesn't hold for $$$(l, r)$$$ = $$$(1, 5)$$$. For example, for the permutation $$$[2, 4, 3, 5, 1]$$$,

- the first minimum and the second minimum are $$$p_5$$$ and $$$p_1$$$, respectively (so they are $$$\{p_l, p_r\}$$$ up to reordering);
- the third minimum is $$$p_3$$$ (neither $$$p_{l+1}$$$ nor $$$p_{r-1}$$$).

In the third test, there are $$$23$$$ good permutations satisfying the constraints given by the string $$$s$$$: $$$[1, 2, 4, 3, 6, 5]$$$, $$$[1, 2, 5, 3, 6, 4]$$$, $$$[1, 2, 6, 3, 5, 4]$$$, $$$[1, 3, 4, 2, 6, 5]$$$, $$$[1, 3, 5, 2, 6, 4]$$$, $$$[1, 3, 6, 2, 5, 4]$$$, $$$[1, 4, 5, 2, 6, 3]$$$, $$$[1, 4, 6, 2, 5, 3]$$$, $$$[1, 5, 6, 2, 4, 3]$$$, $$$[2, 3, 4, 1, 6, 5]$$$, $$$[2, 3, 5, 1, 6, 4]$$$, $$$[2, 3, 6, 1, 5, 4]$$$, $$$[2, 4, 5, 1, 6, 3]$$$, $$$[2, 4, 6, 1, 5, 3]$$$, $$$[2, 5, 6, 1, 4, 3]$$$, $$$[3, 4, 5, 1, 6, 2]$$$, $$$[3, 4, 5, 2, 6, 1]$$$, $$$[3, 4, 6, 1, 5, 2]$$$, $$$[3, 4, 6, 2, 5, 1]$$$, $$$[3, 5, 6, 1, 4, 2]$$$, $$$[3, 5, 6, 2, 4, 1]$$$, $$$[4, 5, 6, 1, 3, 2]$$$, $$$[4, 5, 6, 2, 3, 1]$$$.",,,
codeforces,cf-1991-H,1991,H,Prime Split Game,https://codeforces.com/problemset/problem/1991/H,"['bitmasks', 'dp', 'fft', 'games', 'math', 'number theory']",3300,"Alice and Bob are playing a game with $$$n$$$ piles of stones, where the $$$i$$$-th pile has $$$a_i$$$ stones. Players take turns making moves, with Alice going first.

On each move, the player does the following three-step process:

1. Choose an integer $$$k$$$ ($$$1 \leq k \leq \frac n 2$$$). Note that the value of $$$k$$$ can be different for different moves.
2. Remove $$$k$$$ piles of stones.
3. Choose another $$$k$$$ piles of stones and split each pile into two piles. The number of stones in each new pile must be a prime number.

The player who is unable to make a move loses.

Determine who will win if both players play optimally.

Input:
Each test contains multiple test cases. The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases. The description of test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$2 \le n \le 2 \cdot 10^5$$$) — the number of piles of stones.

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 2 \cdot 10^5$$$) — the number of stones in the piles.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.

Output:
For each test case, output ""Alice"" (without quotes) if Alice wins and ""Bob"" (without quotes) otherwise.

You can output each letter in any case (upper or lower). For example, the strings ""alIcE"", ""Alice"", and ""alice"" will all be considered identical.

Note:
In the first test case, there are $$$2$$$ piles of stones with $$$2$$$ and $$$1$$$ stones respectively. Since neither $$$1$$$ nor $$$2$$$ can be split into two prime numbers, Alice cannot make a move, so Bob wins.

In the second test case, there are $$$3$$$ piles of stones with $$$3$$$, $$$5$$$, and $$$7$$$ stones respectively. Alice can choose $$$k = 1$$$, remove the pile of $$$7$$$ stones, and then split the pile of $$$5$$$ stones into two piles of prime numbers of stones, $$$2$$$ and $$$3$$$. Then, the piles consist of $$$3$$$ piles of stones with $$$3$$$, $$$2$$$, and $$$3$$$ stones respectively, leaving Bob with no valid moves, so Alice wins.

In the third test case, there are $$$4$$$ piles of stones with $$$4$$$, $$$6$$$, $$$8$$$, and $$$10$$$ stones respectively. Alice can choose $$$k = 2$$$, removing two piles of $$$8$$$ and $$$10$$$ stones. She splits the pile of $$$4$$$ stones into two piles of prime numbers of stones, $$$2$$$ and $$$2$$$, and the pile of $$$6$$$ stones into two piles of $$$3$$$ and $$$3$$$ stones. Then, Bob has no valid moves, so Alice wins.

In the fourth test case, there are $$$5$$$ piles of stones, each containing $$$8$$$ stones. It can be shown that if both players play optimally, Bob will win.",,,
codeforces,cf-2061-I,2061,I,Kevin and Nivek,https://codeforces.com/problemset/problem/2061/I,"['divide and conquer', 'dp']",3500,"Kevin and Nivek are competing for the title of ""The Best Kevin"". They aim to determine the winner through $$$n$$$ matches.

The $$$i$$$-th match can be one of two types:

- Type 1: Kevin needs to spend $$$a_i$$$ time to defeat Nivek and win the match. If Kevin doesn't spend $$$a_i$$$ time on it, Nivek will win the match.
- Type 2: The outcome of this match depends on their historical records. If Kevin's number of wins is greater than or equal to Nivek's up to this match, then Kevin wins. Otherwise, Nivek wins.

Kevin wants to know the minimum amount of time he needs to spend to ensure he wins at least $$$k$$$ matches.

Output the answers for $$$k = 0, 1, \ldots, n$$$.

Input:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 3 \cdot 10^5$$$) — the number of matches.

The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$-1 \leq a_i \leq 10^9$$$).

If $$$a_i = -1$$$, the $$$i$$$-th match is of Type 2. Otherwise, the $$$i$$$-th match is of Type 1, and $$$a_i$$$ represents the amount of time Kevin needs to spend to win this match.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$3 \cdot 10^5$$$.

Output:
For each test case, output $$$n + 1$$$ integers. The $$$i$$$-th integer represents the minimum amount of time to win at least $$$i-1$$$ matches.

Note:
In the first test case, all matches are of Type 2. Kevin can automatically win all matches.

In the second test case, all matches are of Type 1. Kevin can choose matches in increasing order of $$$a_i$$$.

In the third test case:

- If Kevin spends $$$a_1$$$ time on match $$$1$$$, he can win matches $$$1, 2, 3, 4$$$.
- If Kevin spends $$$a_5$$$ time on match $$$5$$$, he can win match $$$5$$$.
- If Kevin spends $$$a_1$$$ time on match $$$1$$$ and $$$a_5$$$ time on match $$$5$$$, he can win all matches.",,,
codeforces,cf-1439-E,1439,E,Cheat and Win,https://codeforces.com/problemset/problem/1439/E,"['bitmasks', 'data structures', 'games', 'trees']",3500,"Let's consider a $$$(10^9+1) \times (10^9+1)$$$ field. The rows are numbered with integers from $$$0$$$ to $$$10^9$$$ and the columns are numbered with integers from $$$0$$$ to $$$10^9$$$. Let's define as $$$(x, y)$$$ the cell located in the $$$x$$$-th row and $$$y$$$-th column.

Let's call a cell $$$(x, y)$$$ good if $$$x \& y = 0$$$, there $$$\&$$$ is the bitwise and operation.

Let's build a graph where vertices will be all good cells of the field and we will make an edge between all pairs of adjacent by side good cells. It can be proved that this graph will be a tree — connected graph without cycles. Let's hang this tree on vertex $$$(0, 0)$$$, so we will have a rooted tree with root $$$(0, 0)$$$.

Two players will play the game. Initially, some good cells are black and others are white. Each player on his turn chooses a black good cell and a subset of its ancestors (possibly empty) and inverts their colors (from white to black and vice versa). The player who can't move (because all good cells are white) loses. It can be proved that the game is always finite.

Initially, all cells are white. You are given $$$m$$$ pairs of cells. For each pair color all cells in a simple path between them as black. Note that we do not invert their colors, we paint them black.

Sohrab and Mashtali are going to play this game. Sohrab is the first player and Mashtali is the second.

Mashtali wants to win and decided to cheat. He can make the following operation multiple times before the game starts: choose a cell and invert colors of all vertices on the path between it and the root of the tree.

Mammad who was watching them wondered: ""what is the minimum number of operations Mashtali should do to have a winning strategy?"".

Find the answer to this question for the initial painting of the tree. It can be proved that at least one possible way to cheat always exists.

Input:
The first line contains one integer $$$m$$$ ($$$1 \leq m \leq 10^5$$$).

Each of the next $$$m$$$ lines contains four integers $$$x_{1}$$$, $$$y_{1}$$$, $$$x_{2}$$$, $$$y_{2}$$$ ($$$0 \leq x_i, y_i \leq 10^9$$$, $$$x_i \& y_i = 0$$$). You should color all cells on the path between vertices $$$(x_1, y_1)$$$ and $$$(x_2, y_2)$$$ as black.

Output:
Print a single integer — the minimum number of cheating operations the second player can do.

Note:
In the first test, you can make one cheating operation with the root of the tree. After that, the second player can win because he can use a symmetric strategy.

In the second test, you can make cheating operations with cells $$$(0, 2), (0, 0), (3, 4)$$$.

In the third test, the second player already has the winning strategy and doesn't need to make any cheating operations.",,,
codeforces,cf-1994-H,1994,H,Fortnite,https://codeforces.com/problemset/problem/1994/H,"['combinatorics', 'constructive algorithms', 'games', 'greedy', 'hashing', 'interactive', 'math', 'number theory', 'strings']",3500,"This is an interactive problem!

Timofey is writing a competition called Capture the Flag (or CTF for short). He has one task left, which involves hacking a security system. The entire system is based on polynomial hashes$$$^{\text{∗}}$$$.

Timofey can input a string consisting of lowercase Latin letters into the system, and the system will return its polynomial hash. To hack the system, Timofey needs to find the polynomial hash parameters ($$$p$$$ and $$$m$$$) that the system uses.

Timofey doesn't have much time left, so he will only be able to make $$$3$$$ queries. Help him solve the task.

Input:
Each test consists of multiple test cases. The first line contains an integer $$$t$$$ ($$$1 \leq t \leq 10^3$$$) — the number of test cases.

It is guaranteed that the $$$p$$$ and $$$m$$$ used by the system satisfy the conditions: $$$26 < p \leq 50$$$ and $$$p + 1 < m \leq 2 \cdot 10^9$$$.

Note:
Answer for the first query is $$$(ord(a) \cdot 31^0 + ord(a) \cdot 31^1) \mod 59 = (1 + 1 \cdot 31) \mod 59 = 32$$$.

Answer for the second query is $$$(ord(y) \cdot 31^0 + ord(b) \cdot 31^1) \mod 59 = (25 + 2 \cdot 31) \mod 59 = 28$$$.",,,
codeforces,cf-2061-H1,2061,H1,Kevin and Stones (Easy Version),https://codeforces.com/problemset/problem/2061/H1,"['flows', 'graph matchings', 'graphs']",3500,"This is the easy version of the problem. The difference between the versions is that in this version, you only need to determine whether a valid sequence of operations exists. You can hack only if you solved all versions of this problem.

Kevin has an undirected graph with $$$n$$$ vertices and $$$m$$$ edges. Initially, some vertices contain stones, which Kevin wants to move to new positions.

Kevin can perform the following operation:

- For each stone at $$$u_i$$$, select a neighboring vertex $$$v_i$$$. Simultaneously move each stone from $$$u_i$$$ to its corresponding $$$v_i$$$.

At any time, each vertex can contain at most one stone.

Determine whether a valid sequence of operations exists that moves the stones from the initial state to the target state.

Input:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 1000$$$). The description of the test cases follows.

The first line of each test case contains two integers $$$n$$$ and $$$m$$$ ($$$1\leq n \leq 2000$$$, $$$0\leq m \leq \min(\frac{n(n-1)}{2}, 10^4)$$$) — the number of vertices and edges in the graph.

The second line contains a binary string $$$s$$$ consisting of '0' and '1'. The $$$i$$$-th bit of $$$s$$$ indicates the number of stones on the $$$i$$$-th vertex in the initial state.

The third line contains a binary string $$$t$$$ consisting of '0' and '1'. The $$$i$$$-th bit of $$$t$$$ indicates the number of stones on the $$$i$$$-th vertex in the target state.

Each of the next $$$m$$$ lines contains two integers $$$u$$$ and $$$v$$$ ($$$1\leq u, v \leq n$$$) — an undirected edge between the $$$u$$$-th vertex and the $$$v$$$-th vertex.

It is guaranteed that the graph is simple. There are no self-loops and parallel edges in the graph.

It is guaranteed that the numbers of '1' in $$$s$$$ and $$$t$$$ are the same.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2000$$$.

It is guaranteed that the sum of $$$m$$$ over all test cases does not exceed $$$10^4$$$.

Output:
For each test case, on the first line, output ""Yes"" or ""No"" to indicate whether a valid sequence of operations exists.

You can output the answer in any case (upper or lower). For example, the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive responses.",,,
